timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735625880869,578,MyRequest-1,200,OK,Users 1-1,text,true,,24037,117,1,1,http://www.google.com/,528,0,19
1735625882869,563,MyRequest-1,200,OK,Users 1-2,text,true,,24029,117,1,1,http://www.google.com/,515,0,11
1735625884869,462,MyRequest-1,200,OK,Users 1-3,text,true,,24126,117,1,1,http://www.google.com/,446,0,8
1735625886870,955,MyRequest-1,200,OK,Users 1-4,text,true,,24012,117,1,1,http://www.google.com/,906,0,21
1735625888872,568,MyRequest-1,200,OK,Users 1-5,text,true,,24028,117,1,1,http://www.google.com/,520,0,7
1735625890870,573,MyRequest-1,200,OK,Users 1-6,text,true,,24026,117,1,1,http://www.google.com/,522,0,7
1735625892869,501,MyRequest-1,200,OK,Users 1-7,text,true,,24069,117,1,1,http://www.google.com/,482,0,18
1735625894867,577,MyRequest-1,200,OK,Users 1-8,text,true,,24053,117,1,1,http://www.google.com/,527,0,8
1735625896870,612,MyRequest-1,200,OK,Users 1-9,text,true,,24026,117,1,1,http://www.google.com/,558,0,8
1735625898869,532,MyRequest-1,200,OK,Users 1-10,text,true,,24047,117,1,1,http://www.google.com/,480,0,11
